"name";"haeufigkeit_gesamt"
"VoterFraud                              ";1
"VoterRegistrationDay                    ";1
"VotersSpeak                             ";1
"voteTrump                               ";1
"VoteTrump                               ";60
"VoteTrump2016                           ";2
"VoteTrumpIL                             ";1
"VoteTrumpMA                             ";1
"VoteTrumpMI                             ";2
"VoteTrumpNC                             ";1
"VoteTrumpNH                             ";7
"VoteTrumpNV                             ";7
"VoteTrumpNY                             ";3
"VoteTrumpSC                             ";9
"VoteTrumpVT                             ";1
"VoteTrumpWI                             ";1
"WakeUpAmerica                           ";2
"WashingtonDC                            ";1
"WATCH                                   ";1
"WattersWorld                            ";1
"Wausau                                  ";1
"WCS16                                   ";1
"WeAreBernie                             ";1
"WeMadeHistory                           ";4
"WesternTuesday                          ";1
"WestVirginia                            ";1
"WeTrumpHate                             ";1
"WeWantTrump                             ";1
"WH                                      ";1
"WHCD                                    ";1
"WHD                                     ";1
"WheresHillary                           ";1
"WIBackHer                               ";1
"Wimbledon                               ";1
"WIPrimary                               ";13
"Wisconsin                               ";2
"WISCONSIN                               ";1
"With_Cruz_you_lose                      ";1
"womancard                               ";1
"WomanCard                               ";7
"WOMEN4TRUMP                             ";1
"Women4Ttump                             ";1
"WomensEqualityDay                       ";4
"WORK                                    ";1
"WorldRefugeeDay                         ";1
"YouthDay                                ";1
"YUGE                                    ";1
